,Brand,Model Name,Screen Size,RAM,Storage,CPU,Operating System,Price,Rating,Review Count,Graphic Card Description
0,Lenovo,Lenovo ThinkPad,14 Inches,16 GB,512 GB,Intel Core i5,Windows,No price,3.4,174 ratings,Integrated
1,Dell,Latitude 3440,14 Inches,16 GB,512 GB,Core i3-1215U,Windows 11 Home,"33,290",4.5,2 ratings,Integrated
2,HP,255 G9,15.6 Inches,8 GB,512 GB,Ryzen 3 3250U,DOS,"24,970",3.4,5 ratings,Integrated
3,Apple,MacBook Air,13 Inches,8 GB,256 GB,Core M Family,macOS 10.14 Mojave,"67,990",4.5,"5,022 ratings",Integrated
4,Apple,MacBook Air,13 Inches,8 GB,256 GB,Core M Family,macOS 10.14 Mojave,"67,990",4.5,"5,022 ratings",Integrated
5,Lenovo,IdeaPad,14 Inches,8 GB,No storage,Core i3,"Windows 11 Home 64, English","34,990",4.0,456 ratings,Integrated
6,Lenovo,E14 Gen 5 AMD,14 Inches,8 GB,512 GB,Ryzen 5,Windows 11 Home,"47,990",4.2,130 ratings,Integrated
7,Primebook,Primebook 4G,11.6 Inches,4 GB,64 GB,MediaTek MT8183,PrimeOS,"13,990",4.5,300 ratings,Integrated
8,Lenovo,IdeaPad,15,8 GB,512 GB,Core i3,Windows 11,"34,275",4.0,239 ratings,Integrated
9,Lenovo,LOQ,15.6 Inches,16 GB,512 GB,Intel Core i5,Windows 11,"71,990",4.0,478 ratings,Dedicated
10,HP,255 G9,15.6 Inches,8 GB,512 GB,Ryzen 5,DOS,"29,880",4.2,18 ratings,Integrated
11,Lenovo,G3,14 Inches,16 GB,512 GB,Core i5-1235U,Windows 11 Pro,"37,150",3.5,19 ratings,Integrated
12,acer,Aspire Lite,15.6 Inches,16 GB,No storage,Ryzen 5,Windows 11 Home,"33,490",3.8,122 ratings,Integrated
13,acer,Aspire 3,15.6 Inches,8 GB,No storage,Celeron,Windows 11 Home,"23,990",3.3,218 ratings,Integrated
14,Lenovo,V14,14 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Pro,"25,830",4.0,2 ratings,Integrated
15,HP,HP Laptop,15.6 Inches,16 GB,512 GB,Intel Core i5,Windows 11 Home,"55,990",3.7,65 ratings,Integrated
16,HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"36,757",4.0,"1,120 ratings",Integrated
17,Lenovo,V15 G4 AMN,15.6 Inches,8 GB,512 GB,Ryzen 5,Windows 11 Home,"31,490",4.6,5 ratings,Integrated
18,Lenovo,IdeaPad 1 14IGL7,14 Inches,8 GB,512 GB,Celeron N4020,Windows 11 Home,"23,990",3.7,252 ratings,Integrated
19,Dell,Inspiron,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"29,990",3.9,59 ratings,Integrated
20,HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"52,990",3.8,259 ratings,Integrated
21,ASUS,Vivobook Go 14,14 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"33,990",4.0,75 ratings,Integrated
22,Lenovo,Lenovo V15 G4,15.6 Inches,16 GB,512 GB,Ryzen 7,Windows 11,"39,899",4.2,46 ratings,Integrated
